,last_name,first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
738,Tatis Jr., Fernando,665487,SD,CH,Changeup,5.0,5,102,10.6,37,0.25,0.469,0.381,30.0,18.9,22.6,0.311,0.542,0.409,56.0
739,Noda, Ryan,676116,OAK,SIFT,Sinker,-1.4,-2,129,10.7,37,0.161,0.226,0.254,17.9,18.9,17.1,0.213,0.345,0.316,45.8
740,Julien, Edouard,666397,MIN,FF,4-Seamer,0.4,1,153,28.1,37,0.29,0.419,0.353,17.2,32.4,22.6,0.222,0.349,0.301,45.0
741,Smith, Dominic,642086,WSH,CUKC,Curveball,-0.6,-1,101,8.3,37,0.273,0.333,0.295,16.7,13.5,11.9,0.289,0.429,0.335,20.7
742,Melendez, MJ,669004,KC,SIFT,Sinker,1.1,2,151,12.4,37,0.25,0.438,0.372,28.1,21.6,19.5,0.311,0.617,0.433,66.7
743,Díaz, Aledmys,649557,OAK,SIFT,Sinker,-2.0,-3,137,20.2,37,0.25,0.281,0.299,13.0,13.5,20.8,0.238,0.287,0.292,29.6
744,McNeil, Jeff,643446,NYM,SL,Slider,-0.4,-1,163,15.0,37,0.161,0.29,0.255,33.3,16.2,12.5,0.187,0.274,0.263,15.4
745,Olivares, Edward,658668,KC,SL,Slider,1.7,2,140,17.2,37,0.314,0.514,0.399,35.2,24.3,19.1,0.278,0.447,0.331,38.5
746,Smith, Pavin,656976,AZ,SL,Slider,-2.1,-3,156,18.2,37,0.091,0.121,0.163,25.4,24.3,15.5,0.178,0.232,0.236,37.5
747,Rizzo, Anthony,519203,NYY,SIFT,Sinker,-0.1,0,141,11.7,37,0.267,0.433,0.357,17.5,10.8,10.0,0.238,0.367,0.331,37.0
748,Carpenter, Kerry,681481,DET,FF,4-Seamer,2.4,4,155,29.4,37,0.242,0.606,0.388,30.3,27.0,21.3,0.217,0.454,0.325,47.8
749,Morel, Christopher,666624,CHC,FF,4-Seamer,0.6,1,142,25.8,36,0.294,0.676,0.433,47.1,41.7,25.9,0.249,0.627,0.384,68.4
750,Wong, Connor,657136,BOS,SL,Slider,-3.0,-4,127,17.8,36,0.171,0.229,0.189,49.3,58.3,48.8,0.131,0.214,0.162,42.9
751,McNeil, Jeff,643446,NYM,CH,Changeup,0.6,1,112,10.3,36,0.303,0.303,0.333,17.2,8.3,8.8,0.27,0.321,0.292,26.7
752,Bryant, Kris,592178,COL,SL,Slider,-2.3,-4,152,19.6,36,0.152,0.152,0.208,40.5,25.0,22.5,0.186,0.296,0.248,20.8
753,Ruiz, Keibert,660688,WSH,SIFT,Sinker,-2.6,-3,117,13.6,36,0.257,0.343,0.275,4.8,0.0,0.0,0.295,0.456,0.333,28.6
754,Friedl, TJ,670770,CIN,SIFT,Sinker,3.4,4,127,14.0,36,0.455,0.697,0.513,13.6,16.7,20.0,0.333,0.41,0.354,48.1
755,Franco, Wander,677551,TB,FC,Cutter,0.9,1,124,9.8,36,0.273,0.485,0.353,14.3,25.0,27.3,0.236,0.418,0.313,41.7
756,Rosario, Eddie,592696,ATL,CUKC,Curveball,-3.4,-4,121,12.8,36,0.139,0.222,0.156,37.5,38.9,33.3,0.199,0.343,0.23,27.3
757,Robert Jr., Luis,673357,CWS,ST,Sweeper,-0.8,-1,125,10.2,36,0.194,0.472,0.275,33.3,30.6,23.4,0.244,0.477,0.305,40.0
758,Turner, Trea,607208,PHI,CH,Changeup,-1.3,-2,147,11.1,36,0.152,0.242,0.214,39.0,22.2,17.8,0.225,0.381,0.296,28.0
759,Laureano, Ramón,657656,OAK,SIFT,Sinker,-3.6,-5,142,15.3,36,0.212,0.273,0.253,22.1,25.0,31.0,0.205,0.292,0.256,54.2
760,Mejía, Francisco,642336,TB,FF,4-Seamer,0.7,1,131,27.0,36,0.281,0.469,0.368,22.1,22.2,14.5,0.196,0.324,0.258,36.0
761,Santander, Anthony,623993,BAL,SIFT,Sinker,3.8,4,104,7.9,36,0.389,0.583,0.418,10.8,5.6,6.3,0.328,0.456,0.337,55.9
762,Knizner, Andrew,668800,STL,FF,4-Seamer,-4.6,-6,124,35.0,36,0.121,0.242,0.184,24.7,30.6,28.2,0.213,0.476,0.312,52.2
763,Grichuk, Randal,545341,COL,SL,Slider,-0.1,0,148,21.2,36,0.286,0.371,0.279,38.7,33.3,24.0,0.272,0.341,0.274,45.8
764,McKenna, Ryan,663630,BAL,FF,4-Seamer,-1.4,-2,122,34.5,36,0.194,0.355,0.283,31.8,30.6,23.9,0.161,0.255,0.211,27.3
765,Henderson, Gunnar,683002,BAL,SIFT,Sinker,-3.3,-4,125,12.3,36,0.138,0.172,0.246,19.6,19.4,24.1,0.232,0.349,0.338,40.9
766,Duffy, Matt,622110,KC,FF,4-Seamer,0.3,0,126,34.7,36,0.313,0.531,0.397,7.6,11.1,12.1,0.302,0.484,0.377,42.9
